Campus,Semester Key,Semester,Level,Course Name,Course Number,Course Description,Credits,Grade,WI,E,O,H,Foun.,Div.,NI,UD,Area,Area2,Area3,Area4,Area5,Attempted Credits,GPR Credits,Earned Credits,Quality Points,Repeats,College,Instructor,Banner Comments,Academic Pathway Comments,Transfer Institution,Transfer Course Name,Transfer Course Number, Transfer Course Description,Transfer Credits,Transfer Grade,Transfer Accept
"Manoa","201730","Spring 2017","UG","ASAN","364","20th Century CHN Women Writers","3","***","WI","E"," "," "," ","DL","NI","UD","","","","","","0","0","0","0"," ","Sch of Pacific & Asian Studies","Yue Ming-Bao"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","ICS","314","Software Engineering I","3","***","WI"," "," "," "," "," ","NI","UD","","","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Johnson Philip"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","ICS","361","AI Programming","3","***"," "," "," "," "," "," ","NI","UD","","ICS CORE-ICS 313/361( 2016-BA)","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Binsted Kimberly"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","ICS","332","Operating Systems","3","***"," "," "," "," "," "," ","NI","UD","","ICS CORE-ICS 332( 2016-BA)","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Narayan Ravi"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","ICS","212","Program Structure","3","A"," "," "," "," "," "," ","NI"," ","","ICS CORE-ICS 212( 2016-BA)","","","","3.00","3.00","3.00","12.0000"," ","Colleges of Arts & Sciences","Narayan Ravi"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","LLEA","328","Ancient Roman Lit.","3","A+","WI"," "," "," "," ","DL","NI","UD","","","","","","3.00","3.00","3.00","12.0000"," ","Colleges of Arts & Sciences","Smoot Guy"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","ICS","311","Algorithms","4","B"," "," "," "," "," "," ","NI","UD","","ICS CORE-ICS 311( 2016-BA)","","","","4.00","4.00","4.00","12.0000"," ","Colleges of Arts & Sciences","Stelovsky Jan"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","LING","102","Intro to the Study of Language","3","A+","WI"," "," "," "," ","DS"," "," ","DS-LING( 2016-BA)","","","","","3.00","3.00","3.00","12.0000"," ","Colleges of Arts & Sciences","Chen Yen-hsin"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","CHEM","162","General Chemistry II","3","CR"," "," "," "," "," ","DP"," "," ","","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","CHEM","162","General Chemistry II","3","A","Y"
"Manoa","201630","Spring 2016","UG","CHEM","162L","General Chemistry Lab II","1","CR"," "," "," "," "," ","DY"," "," ","","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Leeward Comm Col","CHEM","162L","General Chemistry II Lab","1","A","Y"
