Campus,Semester Key,Semester,Level,Course Name,Course Number,Course Description,Credits,Grade,WI,E,O,H,Foun.,Div.,NI,UD,Area,Area2,Area3,Area4,Area5,Attempted Credits,GPR Credits,Earned Credits,Quality Points,Repeats,College,Instructor,Banner Comments,Academic Pathway Comments,Transfer Institution,Transfer Course Name,Transfer Course Number, Transfer Course Description,Transfer Credits,Transfer Grade,Transfer Accept
"Manoa","201710","Fall 2016","UG","ICS","241","Discrete Mathematics II","3","C+"," "," "," "," ","FS"," ","NI"," ","","ICS CORE-ICS 241( 2015-BS)","","","","3.00","3.00","3.00","9.9000"," ","Colleges of Arts & Sciences","Baek Kyungim"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","MATH","216","Applied Calculus II","3","A"," "," "," "," "," "," ","NI"," ","FS-SYMBOLIC REASON II( 2015-BS)","","","","","3.00","3.00","3.00","12.0000"," ","Colleges of Arts & Sciences","Freese Ralph"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","PHYS","151","College Physics","3","C+"," "," "," "," "," ","DP"," "," ","DIV-PHYS 151/170( 2015-BS)","","","","","3.00","3.00","3.00","6.9000"," ","Colleges of Arts & Sciences","Slovak Mark"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","ICS","211","Intro to Computer Science II","4","A"," "," "," "," "," "," ","NI"," ","","ICS CORE-ICS 211( 2015-BS)","","","","4.00","4.00","4.00","16.0000"," ","Colleges of Arts & Sciences","Moore Carleton"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","PHYS","151L","College Physics Laboratory I","1","A-"," "," "," "," "," ","DY"," "," ","DIV-PHYS 151L/170L( 2015-BS)","","","","","1.00","1.00","1.00","3.7000"," ","Colleges of Arts & Sciences","Shukla Anirvan"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201640","Summer 2016","UG","CHEM","161","General Chemistry I","3","CR"," "," "," "," "," ","DP"," "," ","DIV-CHEM 161( 2015-BS)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Kapiolani Comm Col","CHEM","161","General Chemistry I","3","B","Y"
"Manoa","201640","Summer 2016","UG","CHEM","161L","General Chemistry Lab I","1","CR"," "," "," "," "," ","DY"," "," ","DIV-CHEM 161L( 2015-BS)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Kapiolani Comm Col","CHEM","161L","General Chemistry I Lab","1","A","Y"
"Manoa","201640","Summer 2016","UG","CHEM","162","General Chemistry II","3","CR"," "," "," "," "," ","DP"," "," ","DIV-CHEM 162( 2015-BS)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Kapiolani Comm Col","CHEM","162","General Chemistry II","3","A","Y"
"Manoa","201640","Summer 2016","UG","CHEM","162L","General Chemistry Lab II","1","CR"," "," "," "," "," ","DY"," "," ","DIV-CHEM 162L( 2015-BS)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Kapiolani Comm Col","CHEM","162L","General Chemistry II Lab","1","A","Y"
"Manoa","201630","Spring 2016","UG","JPN","202","Intermediate Japanese","4","B"," "," "," "," "," "," ","NI"," ","HSL 202( 2015-BS)","","","","","4.00","4.00","4.00","12.0000"," ","Colleges of Arts & Sciences","Ogasawara Miki"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","ICS","111","Intro to Computer Science I","4","A-"," "," "," "," "," "," "," "," ","","ICS CORE-ICS 111( 2015-BS)","","","","4.00","4.00","4.00","14.8000"," ","Colleges of Arts & Sciences","Leigh Jason"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","ICS","141","Discrete Math for CS I","3","B"," "," "," "," ","FS"," "," "," ","","ICS CORE-ICS 141( 2015-BS)","","","","3.00","3.00","3.00","9.0000"," ","Colleges of Arts & Sciences","Baek Kyungim"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","MATH","215","Applied Calculus I","4","B-"," "," "," "," ","FS"," ","NI"," ","FS-SYMBOLIC REASON I( 2015-BS)","","","","","4.00","4.00","4.00","10.8000"," ","Colleges of Arts & Sciences","Mileyko Yuriy"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201530","Spring 2015","UG","SLS","312","Technqs in SL Tchg: Rdg/Wrtg","0","W"," "," "," "," "," "," "," "," ","Not-used","Not-used","Not-used","Not-used","Not-used","0.00","0.00","0.00","0.0000"," ","Colleges of Arts & Sciences","Gilliland Elizabeth"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201530","Spring 2015","UG","SLS","302","Second Language Learning","0","W"," "," "," "," "," "," "," "," ","Not-used","Not-used","Not-used","Not-used","Not-used","0.00","0.00","0.00","0.0000"," ","Colleges of Arts & Sciences","Kim Sangki"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201530","Spring 2015","UG","SLS","303","Second Language Teaching","0","W"," "," "," "," "," "," "," "," ","Not-used","Not-used","Not-used","Not-used","Not-used","0.00","0.00","0.00","0.0000"," ","Colleges of Arts & Sciences","Cho Min Young"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201510","Fall 2014","UG","SLS","150","Learn Language & Communicate","3","C+"," "," "," "," "," ","DS"," "," ","DS-SLS( 2015-BS)","","","","","3.00","3.00","3.00","6.9000"," ","Colleges of Arts & Sciences","Wilding Mark"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
