Campus,Semester Key,Semester,Level,Course Name,Course Number,Course Description,Credits,Grade,WI,E,O,H,Foun.,Div.,NI,UD,Area,Area2,Area3,Area4,Area5,Attempted Credits,GPR Credits,Earned Credits,Quality Points,Repeats,College,Instructor,Banner Comments,Academic Pathway Comments,Transfer Institution,Transfer Course Name,Transfer Course Number, Transfer Course Description,Transfer Credits,Transfer Grade,Transfer Accept
"Manoa","201730","Spring 2017","UG","ICS","361","AI Programming","3","***"," "," "," "," "," "," ","NI","UD","","ICS CORE-ICS 313/361( 2013-BS)","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Binsted Kimberly"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","ICS","499","Computer Project","3","***"," "," "," "," "," "," ","NI","UD","","ICS UPPER ELEC( 2013-BS)","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Lau Gerald"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","ICS","390","Computing Ethics for LAs","3","***","WI","E","O"," "," "," ","NI","UD","","","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Crosby Martha"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201730","Spring 2017","UG","ICS","314","Software Engineering I","3","***","WI"," "," "," "," "," ","NI","UD","","ICS ELEC-ICS 314( 2013-BS)","","","","0","0","0","0"," ","Colleges of Arts & Sciences","Johnson Philip"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","ICS","351","Network Design","3","A-","WI"," "," "," "," "," ","NI","UD","","","","","","3.00","3.00","3.00","11.1000"," ","Colleges of Arts & Sciences","Biagioni Edoardo"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","ICS","423","Computer Security","3","A-"," "," "," "," "," "," ","NI","UD","","ICS UPPER ELEC( 2013-BS)","","","","3.00","3.00","3.00","11.1000"," ","Colleges of Arts & Sciences","Li Depeng"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201710","Fall 2016","UG","ICS","451","Data Networks","3","C+"," "," "," "," "," "," ","NI","UD","","ICS UPPER ELEC( 2013-BS)","","","","3.00","3.00","3.00","6.9000"," ","Colleges of Arts & Sciences","Narayan Ravi"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","CHEM","162","General Chemistry II","3","CR"," "," "," "," "," ","DP"," "," ","DIV-CHEM 162( 2013-BS)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Kapiolani Comm Col","CHEM","162","General Chemistry II","3","C","Y"
"Manoa","201630","Spring 2016","UG","BOT","101","General Botany","3","B"," "," "," "," "," ","DB"," "," ","DB-DIV-BIOL SCI( 2013-BS)","","","","","3.00","3.00","3.00","9.0000"," ","Colleges of Arts & Sciences","Drake Donald"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","JPN","212","Int Japanese for Oral Com II","3","B"," "," "," "," "," "," ","NI"," ","HSL 202( 2013-BS)","","","","","3.00","3.00","3.00","9.0000"," ","Colleges of Arts & Sciences","Iwai Tomoko"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","ICS","695","Adv Special Topics in Security","3","B"," "," "," "," "," "," ","NI","UD","","","","","","3.00","3.00","3.00","9.0000"," ","Colleges of Arts & Sciences","Li Depeng"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201630","Spring 2016","UG","HWST","107","Hawaii: Center of the Pacific","3","A-"," "," "," ","H"," ","DH"," "," ","DH-DIV HUM( 2013-BS)","","","","","3.00","3.00","3.00","11.1000"," ","School of Hawaiian Knowledge","O'Connor Sean Kanoa"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201610","Fall 2015","UG","JPN","211","Int Japanese for Oral Com I","3","B"," "," "," "," "," "," ","NI"," ","HSL 201( 2013-BS)","","","","","3.00","3.00","3.00","9.0000"," ","Colleges of Arts & Sciences","Fukuda Chie"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201610","Fall 2015","UG","ENG","270","Intro to Lit: Literary History","3","A","WI"," "," "," "," ","DL","NI"," ","","","","","","3.00","3.00","3.00","12.0000"," ","Colleges of Arts & Sciences","Morse Jonathan"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201610","Fall 2015","UG","AMST","360","American Cinema","3","A-","WI"," "," "," "," ","DH","NI","UD","","","","","","3.00","3.00","3.00","11.1000"," ","Colleges of Arts & Sciences","Eagle Jonna"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201610","Fall 2015","UG","ICS","311","Algorithms","4","B-"," "," "," "," "," "," ","NI","UD","","ICS CORE-ICS 311( 2013-BS)","","","","4.00","4.00","4.00","10.8000"," ","Colleges of Arts & Sciences","Sitchinava Nodar"," ","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    "," "," "," "," "," "," "," "
"Manoa","201610","Fall 2015","UG","CHEM","161L","General Chemistry Lab I","1","CR"," "," "," "," "," ","DY"," "," ","DIV-CHEM 161L( 2013-BS)","","","",""," "," "," "," "," ","Colleges of Arts & Sciences","unknown","X","                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ","U of Hawaii Kapiolani Comm Col","CHEM","161L","General Chemistry I Lab","1","B","Y"
